Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA single nuclei brain specificity"	"RNA single nuclei brain distribution"	"RNA single nuclei brain specificity score"	"RNA single nuclei brain specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Cancer prognostics - Bladder Urothelial Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (validation)"	"Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (validation)"	"Cancer prognostics - Glioblastoma Multiforme (TCGA)"	"Cancer prognostics - Glioblastoma Multiforme (validation)"	"Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Chromophobe (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation)"	"Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (validation)"	"Cancer prognostics - Lung Adenocarcinoma (TCGA)"	"Cancer prognostics - Lung Adenocarcinoma (validation)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (validation)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation)"	"Cancer prognostics - Pancreatic Adenocarcinoma (TCGA)"	"Cancer prognostics - Pancreatic Adenocarcinoma (validation)"	"Cancer prognostics - Prostate Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (validation)"	"Cancer prognostics - Skin Cuteneous Melanoma (TCGA)"	"Cancer prognostics - Stomach Adenocarcinoma (TCGA)"	"Cancer prognostics - Testicular Germ Cell Tumor (TCGA)"	"Cancer prognostics - Thyroid Carcinoma (TCGA)"	"Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)"
SDK2	"FLJ10832, KIAA1514"	ENSG00000069188	"Sidekick cell adhesion molecule 2"	Q58EX2	17	73334384-73644445	"Predicted membrane proteins"	"Cell adhesion"			"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"cervix: 5.3;testis: 9.4"	"Cell type enhanced"	"Detected in many"		"Early spermatids: 16.0;Excitatory neurons: 18.2;Extravillous trophoblasts: 18.7;Late spermatids: 16.9;Oocytes: 16.2;Syncytiotrophoblasts: 14.9"	"Cell type enhanced"	"Detected in all"		"deep-layer corticothalamic and 6b: 217.6"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"cervical cancer: 5.7;testis cancer: 6.6"	"Colon - Enteric glia cells, Liver - Hepatic stellate cells, Testis - Early spermatids"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in all"										NA	NA		5000000	"Cluster 30: Non-specific - DNA binding"	"Cluster 74: Spermatids - Flagellum assembly"	"Cluster 49: Hindbrain - Mixed function"	"Cluster 1: Neuronal - Visual perception"	"Cluster 34: Neurons - Neuronal signaling"	1					"unprognostic (6.40e-3)"	"unprognostic (9.19e-2)"	"unprognostic (8.00e-3)"		"unprognostic (2.57e-1)"	"unprognostic (1.51e-2)"	"unprognostic (1.25e-2)"	"unprognostic (2.49e-1)"	"unprognostic (1.92e-3)"						"unprognostic (2.19e-1)"	"unprognostic (7.74e-2)"	"unprognostic (1.16e-1)"	"unprognostic (2.18e-1)"	"unprognostic (2.02e-1)"			"unprognostic (4.35e-2)"	"unprognostic (1.60e-1)"		"unprognostic (1.21e-1)"	"unprognostic (1.07e-1)"	"unprognostic (6.52e-3)"	"unprognostic (4.96e-2)"		"unprognostic (2.00e-1)"
SDR42E2		ENSG00000183921	"Short chain dehydrogenase/reductase family 42E, member 2"	A6NKP2	16	22162492-22192208	"Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins"		Oxidoreductase		"Evidence at transcript level"	"Evidence at transcript level"	"No human protein/transcript evidence"	"Evidence at transcript level"	"Tissue enhanced"	"Detected in some"		"fallopian tube: 2.1;testis: 2.0"	"Cell type enhanced"	"Detected in many"		"Kupffer cells: 22.2;Proximal enterocytes: 35.8"	"Cell type enriched"	"Detected in many"	7	"ependymal cell: 58.7"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in single"	6	"neutrophil: 5.3"	"Lineage enriched"	"Detected in single"	6	"granulocytes: 5.3"	"Not detected"	"Not detected"			"Lung - Respiratory ciliated cells, Testis - Late spermatids"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"										NA	NA			"Cluster 35: Neutrophils - Protein binding"	"Cluster 8: Ciliated cells - Cilium organization"	"Cluster 48: Non-specific - Mixed function"	"Cluster 5: Rhabdoid - Unknown function"	"Cluster 61: Plasma cells - Immunoglobulins & histones"																																			
SEC14L5	"KIAA0420, PRELID4B"	ENSG00000103184	"SEC14 like lipid binding 5"	O43304	16	4958330-5019157	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	4	"brain: 35.6;tongue: 10.6"	"Group enriched"	"Detected in some"	9	"Cone photoreceptor cells: 47.6;Excitatory neurons: 64.7;Oligodendrocytes: 176.3"	"Cell type enhanced"	"Detected in many"		"oligodendrocyte: 202.1"	"Low cancer specificity"	"Detected in some"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Breast - Fibroblasts, Heart muscle - Cardiomyocytes, Pituitary gland - Gonadotropes, Spleen - Platelets"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA041492, HPA041825"			Uncertain	"Golgi apparatus,Cytosol"			NA	NA				"Cluster 9: Oligodendrocytes - Myelination"	"Cluster 11: White matter - Signal transduction"	"Cluster 32: Non-specific - Cell proliferation"	"Cluster 51: Oligodendrocytes - Unknown function"	1	"Golgi apparatus, Cytosol"		"HPA041492: AB_10794519, HPA041825: AB_10794526"			"unprognostic (3.01e-1)"				"unprognostic (6.80e-2)"	"unprognostic (6.07e-2)"		"unprognostic (1.48e-2)"																					
SEPTIN12	"FLJ25410, SEPT12"	ENSG00000140623	"Septin 12"	Q8IYM1	16	4777606-4788398	"Disease related genes, Human disease related genes, Predicted intracellular proteins"	"Cell cycle, Cell division, Differentiation, Spermatogenesis"		"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	31	"testis: 96.1"	"Group enriched"	"Detected in some"	36	"Early spermatids: 315.2;Late spermatids: 166.0;Spermatocytes: 111.5"	"Low cell type specificity"	"Detected in some"			"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Testis - Early spermatids, Testis - Late spermatids"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			HPA041128			Supported	Microtubules,Annulus			NA	NA				"Cluster 42: Testis - Spermatogenesis"	"Cluster 37: Neurons - Mixed function"	"Cluster 16: Thyroid cancer - Neuronal signaling"	"Cluster 70: Spermatocytes & Spermatids - Spermatid development"	12	Microtubules	Annulus	"HPA041128: AB_10796568"																															
SERPIND1	"D22S673, HC-II, HC2, HCF2, HLS2"	ENSG00000099937	"Serpin family D member 1"	P05546	22	20774113-20787720	"Candidate cardiovascular disease genes, Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted secreted proteins"	"Blood coagulation, Chemotaxis, Hemostasis"	"Heparin-binding, Protease inhibitor, Serine protease inhibitor"	"Disease variant, FDA approved drug targets, Thrombophilia"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	5	"liver: 1214.6"	"Cell type enriched"	"Detected in some"	13	"Hepatocytes: 238.0"	"Cell type enhanced"	"Detected in all"		"choroid plexus epithelial cell: 13.3"	"Cancer enriched"	"Detected in many"	44	"Liver Hepatocellular Carcinoma (TCGA): 487.1"	"Region enriched"	"Detected in all"	21	"choroid plexus: 191.0"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Group enriched"	"Detected in many"	15	"liver cancer: 30.6;ovarian cancer: 66.9"	"Liver - Hepatocytes, Thyroid gland - Fibroblasts"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in some"			"CAB008639, HPA055767"	Supported		Approved	Vesicles	"Secreted to blood"	"Blood coagulation"	NA	NA		40000000000	"Cluster 30: Non-specific - DNA binding"	"Cluster 31: Liver - Plasma proteins"	"Cluster 36: Choroid plexus - Mixed function"	"Cluster 66: Non-specific - Mitochondria"	"Cluster 62: Hepatocytes - Metabolism"	4	Vesicles		"CAB008639: AB_1618010, HPA055767: AB_2682912"					"unprognostic (1.60e-2)"	"unprognostic (5.58e-3)"					"potential prognostic unfavorable (8.85e-4)"			"unprognostic (1.08e-2)"	"unprognostic (1.40e-1)"	"unprognostic (1.04e-2)"	"unprognostic (1.09e-1)"	"potential prognostic unfavorable (2.39e-4)"	"unprognostic (2.85e-1)"			"unprognostic (2.59e-2)"	"unprognostic (8.58e-3)"		"unprognostic (2.06e-1)"	"unprognostic (1.45e-1)"		"unprognostic (1.19e-1)"	"unprognostic (5.35e-2)"		
SERPINI2	"MEPI, PI14, TSA2004"	ENSG00000114204	"Serpin family I member 2"	O75830	3	167441914-167478972	"Predicted secreted proteins"		"Protease inhibitor, Serine protease inhibitor"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	265	"pancreas: 1374.8"	"Cell type enhanced"	"Detected in some"		"Astrocytes: 35.6;Ciliated cells: 10.7;Exocrine glandular cells: 45.3"	"Group enriched"	"Detected in many"	23	"astrocyte: 287.9;bergmann glia: 313.9;choroid plexus epithelial cell: 201.7;ependymal cell: 729.7"	"Cancer enriched"	"Detected in some"	6	"Pancreatic Adenocarcinoma (TCGA): 18.3"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in single"	5	"Leukemia: 1.2"	"Kidney - Podocytes, Lung - Respiratory ciliated cells"	"Not detected"	"Not detected"			"Region enhanced"	"Detected in many"		"midbrain: 11.3"						"Secreted to digestive system"	"Enzyme inhibitor"	NA	NA				"Cluster 15: Pancreas - Proteolysis"	"Cluster 39: Astrocytes - Mixed function"	"Cluster 14: Myeloid leukemia - Innate immune response"	"Cluster 60: Pancreatic exocrine cells - Proteolysis"	7											"unprognostic (6.09e-2)"												"unprognostic (2.65e-2)"	"unprognostic (1.75e-3)"	"unprognostic (1.65e-1)"	"unprognostic (1.58e-3)"								"unprognostic (8.69e-2)"
SEZ6		ENSG00000063015	"Seizure related 6 homolog"	Q53EL9	17	28954901-29006440	"Predicted intracellular proteins, Predicted membrane proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	4	"brain: 114.7"	"Cell type enhanced"	"Detected in some"		"Bipolar cells: 60.7;Cone photoreceptor cells: 22.1;Excitatory neurons: 15.3;Horizontal cells: 69.2;Inhibitory neurons: 23.3;Rod photoreceptor cells: 20.7"	"Low cell type specificity"	"Detected in all"			"Cancer enriched"	"Detected in many"	11	"Glioblastoma Multiforme (TCGA): 53.8"	"Low region specificity"	"Detected in all"			"Group enriched"	"Detected in some"	5	"basophil: 1.1;neutrophil: 2.0"	"Lineage enriched"	"Detected in single"	6	"granulocytes: 2.0"	"Cancer enhanced"	"Detected in many"		"lung cancer: 13.1;Neuroblastoma: 14.3;thyroid cancer: 21.0"	"Colon - Colon enteroendocrine cells, Pancreas - Alpha cells, Pancreas - Beta cells, Pituitary gland - Thyrotropes"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA011777	Enhanced						NA	NA		350000		"Cluster 65: Cerebellum - Nervous system development"	"Cluster 33: Neurons - Mixed function"	"Cluster 16: Thyroid cancer - Neuronal signaling"	"Cluster 71: Horizontal & Bipolar cells - Neuronal signaling"	1			"HPA011777: AB_1856758"	"unprognostic (4.47e-2)"	"unprognostic (4.05e-2)"					"unprognostic (3.53e-2)"	"unprognostic (1.28e-2)"						"unprognostic (1.31e-1)"	"unprognostic (6.61e-2)"					"unprognostic (3.32e-1)"		"unprognostic (5.54e-3)"				"unprognostic (2.29e-2)"		"unprognostic (3.36e-2)"	"unprognostic (3.91e-1)"		
SEZ6L		ENSG00000100095	"Seizure related 6 homolog like"	Q9BYH1	22	26169462-26383597	"Predicted membrane proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	5	"brain: 48.0"	"Cell type enhanced"	"Detected in some"		"Excitatory neurons: 214.4;Inhibitory neurons: 131.6;Oligodendrocyte precursor cells: 550.0"	"Low cell type specificity"	"Detected in all"			"Cancer enriched"	"Detected in some"	4	"Glioblastoma Multiforme (TCGA): 26.3"	"Low region specificity"	"Detected in all"			"Group enriched"	"Detected in some"	6	"intermediate monocyte: 5.9;myeloid DC: 5.7;non-classical monocyte: 5.4"	"Group enriched"	"Detected in many"	58	"dendritic cells: 5.7;monocytes: 5.9"	"Group enriched"	"Detected in some"	5	"Bone cancer: 23.7;lung cancer: 8.1;Neuroblastoma: 23.5"	"Adrenal gland - Adrenal medulla cells, Colon - Colon enteroendocrine cells, Heart muscle - Fibroblasts, Pancreas - Alpha cells, Pancreas - Beta cells, Skin - Outer root sheath cells, Testis - Late spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA045135			Approved	Vesicles			NA	NA		5000000	"Cluster 40: Monocytes - Innate immune response"	"Cluster 22: Brain - Synaptic signal transduction"	"Cluster 1: Neurons - Mixed function"	"Cluster 12: Bone cancer - Neuronal signaling"	"Cluster 34: Neurons - Neuronal signaling"		Vesicles		"HPA045135: AB_2732518"		"unprognostic (6.00e-2)"	"unprognostic (1.76e-1)"				"unprognostic (1.55e-2)"	"unprognostic (3.39e-2)"		"unprognostic (1.30e-1)"							"unprognostic (1.94e-1)"					"potential prognostic favorable (8.40e-5)"	"unprognostic (1.72e-1)"						"unprognostic (2.68e-1)"		"unprognostic (1.77e-1)"
SH2D5		ENSG00000189410	"SH2 domain containing 5"	Q6ZV89	1	20719731-20732837	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"brain: 18.4;testis: 7.7"	"Cell type enhanced"	"Detected in some"		"Basal keratinocytes: 3.4;Excitatory neurons: 9.6;Horizontal cells: 4.4;Inhibitory neurons: 5.0;Syncytiotrophoblasts: 5.9"	"Low cell type specificity"	"Detected in many"			"Cancer enhanced"	"Detected in some"		"Head and Neck Squamous Cell Carcinoma (TCGA): 6.0"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"			"Testis - Early spermatids, Testis - Late spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in many"			HPA030182			Approved	Cytosol			NA	NA				"Cluster 5: Brain & Testis - Signal transduction"	"Cluster 33: Neurons - Mixed function"	"Cluster 72: Neuronal - Signal transduction"	"Cluster 34: Neurons - Neuronal signaling"		Cytosol		"HPA030182: AB_10670431"				"unprognostic (1.29e-1)"			"unprognostic (7.85e-3)"	"unprognostic (8.94e-2)"	"unprognostic (5.47e-2)"			"unprognostic (1.06e-1)"	"unprognostic (2.90e-2)"					"unprognostic (3.80e-1)"	"unprognostic (3.59e-1)"										"unprognostic (6.86e-2)"		
SH3GL3	"CNSA3, EEN-B2, HsT19371, SH3D2C, SH3P13"	ENSG00000140600	"SH3 domain containing GRB2 like 3, endophilin A3"	Q99963	15	83447228-83618743	"Predicted intracellular proteins"	Endocytosis			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"brain: 40.0;testis: 25.8"	"Group enriched"	"Detected in many"	4	"Early spermatids: 472.0;Late spermatids: 1335.2;Oligodendrocytes: 1063.6"	"Cell type enhanced"	"Detected in all"		"oligodendrocyte: 1662.2"	"Cancer enhanced"	"Detected in many"		"Glioblastoma Multiforme (TCGA): 3.5"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"testis cancer: 14.0"	"Adipose visceral - Mesothelial cells, Lung - Alveolar cells type 1, Minor Salivary Gland - Minor salivary gland basal cells, Testis - Early spermatids, Testis - Late spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA039381, HPA077877"	Enhanced		Approved	Mitochondria			NA	NA				"Cluster 9: Oligodendrocytes - Myelination"	"Cluster 11: White matter - Signal transduction"	"Cluster 12: Bone cancer - Neuronal signaling"	"Cluster 51: Oligodendrocytes - Unknown function"	25	Mitochondria		"HPA039381: AB_10794635, HPA077877: AB_2686863"				"unprognostic (1.42e-2)"			"unprognostic (5.94e-2)"	"unprognostic (7.24e-3)"	"unprognostic (2.47e-1)"					"unprognostic (1.56e-1)"	"unprognostic (1.48e-1)"			"unprognostic (2.69e-1)"	"unprognostic (1.24e-1)"	"unprognostic (1.72e-1)"									"unprognostic (4.14e-1)"		
SHANK1	"SPANK-1, SSTRIP, synamon"	ENSG00000161681	"SH3 and multiple ankyrin repeat domains 1"	Q9Y566	19	50659255-50719802	"Plasma proteins, Predicted intracellular proteins"	"Differentiation, Neurogenesis"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	6	"brain: 30.8"	"Cell type enhanced"	"Detected in some"		"Bipolar cells: 42.2;Excitatory neurons: 28.6;Horizontal cells: 52.9;Inhibitory neurons: 31.5;Rod photoreceptor cells: 12.4"	"Low cell type specificity"	"Detected in many"			"Cancer enhanced"	"Detected in some"		"Glioblastoma Multiforme (TCGA): 2.7;Ovary Serous Cystadenocarcinoma (TCGA): 3.4"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Bone cancer: 6.4;Neuroblastoma: 8.3"	"Adipose visceral - Adipose progenitor cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA032129, HPA032130"	Uncertain		Supported	"Plasma membrane"			NA	NA				"Cluster 61: Brain - Neuronal signaling"	"Cluster 51: Neurons - Mixed function"	"Cluster 6: Leukemia - Signal transduction"	"Cluster 71: Horizontal & Bipolar cells - Neuronal signaling"	11	"Plasma membrane"		"HPA032129: AB_10602796, HPA032130: AB_2674169"			"unprognostic (2.19e-1)"				"unprognostic (3.74e-2)"	"unprognostic (6.16e-2)"												"unprognostic (8.57e-2)"	"unprognostic (2.22e-2)"										
SHBG	"ABP, MGC126834, MGC138391, TEBG"	ENSG00000129214	"Sex hormone binding globulin"	P04278	17	7613946-7633382	"Cancer-related genes, Candidate cardiovascular disease genes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"			"Cancer-related genes, FDA approved drug targets"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	5	"liver: 61.5"	"Cell type enhanced"	"Detected in some"		"Early spermatids: 51.9;Late spermatids: 124.0;Proximal enterocytes: 28.6"	"Low cell type specificity"	"Detected in many"			"Cancer enriched"	"Detected in some"	16	"Liver Hepatocellular Carcinoma (TCGA): 29.6"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in some"			"Kidney - Proximal tubular cells, Kidney - Proximal tubular cells, Testis - Late spermatids"	"Not detected"	"Not detected"												"Secreted to blood"	Transport	NA	NA		6100000000		"Cluster 83: Liver - Metabolism"	"Cluster 39: Astrocytes - Mixed function"	"Cluster 72: Neuronal - Signal transduction"	"Cluster 36: Late spermatids - Unknown function"							"unprognostic (7.32e-2)"				"unprognostic (2.94e-2)"	"unprognostic (5.73e-2)"					"unprognostic (4.41e-2)"	"unprognostic (2.36e-1)"	"unprognostic (2.20e-2)"												"unprognostic (3.24e-2)"		"unprognostic (2.77e-1)"		
SHD		ENSG00000105251	"Src homology 2 domain containing transforming protein D"	Q96IW2	19	4279266-4290722	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	9	"brain: 13.2;heart muscle: 17.2"	"Cell type enriched"	"Detected in some"	5	"Oocytes: 874.9"	"Cell type enhanced"	"Detected in many"		"cerebellar inhibitory: 16.1;committed oligodendrocyte precursor: 27.8;oligodendrocyte precursor cell: 19.3"	"Cancer enriched"	"Detected in some"	7	"Glioblastoma Multiforme (TCGA): 27.3"	"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in single"	179	"plasmacytoid DC: 17.8"	"Lineage enriched"	"Detected in single"	179	"dendritic cells: 17.8"	"Cancer enriched"	"Detected in some"	7	"Neuroblastoma: 113.3"	"Colon - Colon enterocytes, Liver - Hepatocytes, Pituitary gland - Thyrotropes"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA017955	Uncertain		Uncertain	"Centriolar satellite,Cytosol"			NA	NA			"Cluster 44: Plasmacytoid DCs - Plasma membrane proteins"	"Cluster 30: Heart muscle - Heart development"	"Cluster 52: Neurons & Synapses - Synaptic function"	"Cluster 17: Neuroblastoma - Neuronal signaling"	"Cluster 44: Oocytes - Unknown function"	4	"Centriolar satellite, Cytosol"		"HPA017955: AB_1856828"							"unprognostic (1.14e-1)"	"potential prognostic favorable (8.58e-4)"		"unprognostic (3.65e-3)"				"unprognostic (4.97e-2)"	"unprognostic (2.34e-1)"														"unprognostic (1.41e-2)"		
SHISA7		ENSG00000187902	"Shisa family member 7"	A6NL88	19	55428740-55443300	"Predicted membrane proteins, Transporters"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	6	"brain: 26.4"	"Group enriched"	"Detected in some"	14	"Excitatory neurons: 18.7;Horizontal cells: 10.1;Inhibitory neurons: 15.4;Oligodendrocyte precursor cells: 21.7;Oligodendrocytes: 15.0"	"Low cell type specificity"	"Detected in many"			"Cancer enriched"	"Detected in single"	12	"Glioblastoma Multiforme (TCGA): 3.9"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Bone cancer: 1.7;Neuroblastoma: 2.0"	"Pancreas - Alpha cells, Pituitary gland - Somatotropes, Spleen - Erythrocytes, Testis - Early spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA058935	Uncertain		Approved	Cytosol			NA	NA				"Cluster 33: Brain - Neuronal signaling"	"Cluster 51: Neurons - Mixed function"	"Cluster 17: Neuroblastoma - Neuronal signaling"	"Cluster 34: Neurons - Neuronal signaling"		Cytosol		"HPA058935: AB_2683857"							"unprognostic (9.32e-2)"	"potential prognostic favorable (1.41e-5)"																							
SHISA8	"C22orf17, Orf26"	ENSG00000234965	"Shisa family member 8"	B8ZZ34	22	41909543-41915074	"Predicted membrane proteins, Transporters"				"Evidence at protein level"	"Evidence at transcript level"	"No human protein/transcript evidence"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	5	"brain: 65.8"	"Group enriched"	"Detected in some"	7	"Horizontal cells: 137.2;Oocytes: 222.8"	"Cell type enhanced"	"Detected in many"		"CGE interneuron: 88.0;midbrain-derived inhibitory: 181.7;upper rhombic lip: 99.7"	"Low cancer specificity"	"Detected in single"			"Region enriched"	"Detected in many"	8	"cerebellum: 103.4"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Minor Salivary Gland - Minor salivary glandular cells, Pituitary gland - Gonadotropes"	"Group enriched"	"Detected in many"	4	"cerebellum: 7.8;olfactory bulb: 15.7;white matter: 4.0"	"Low region specificity"	"Detected in all"			HPA059173	Uncertain						NA	NA				"Cluster 65: Cerebellum - Nervous system development"	"Cluster 35: Non-specific - DNA binding"	"Cluster 10: Ciliated cells - Ion channel activity"	"Cluster 17: Breast glandular cells - Lactation"				"HPA059173: AB_2683938"																															"unprognostic (1.34e-1)"
